state,town,count
California,Tustin,4
California,Ukiah,1
California,Upland,5
California,Vacaville,3
California,Valencia,2
California,Vallejo,2
California,Valley Springs,1
California,Van Nuys,4
California,Venice,2
California,Ventura,7
California,Victorville,2
California,Visalia,5
California,Vista,6
California,Walnut Creek,4
California,Walnut Park,1
California,Watsonville,3
California,Weaverville,1
California,West Covina,5
California,West Hills,1
California,West Hollywood,2
California,Westlake Village,1
California,Westminster,3
California,West Sacramento,1
California,Whittier,5
California,Wilmington,1
California,Winchester,1
California,Windsor,1
California,Winnetka,2
California,Woodland,2
California,Woodland Hills,4
California,Yorba Linda,2
California,Yuba City,2
California,Yucaipa,1
Colorado,Arvada,1
Colorado,Aurora,5
Colorado,Boulder,1
Colorado,Brighton,1
Colorado,Castle Rock,2
Colorado,Colorado Springs,6
Colorado,Denver,7
Colorado,Edgewater,1
Colorado,Englewood,1
Colorado,Fort Collins,2
Colorado,Glendale,1
Colorado,Glenwood Springs,1
Colorado,Grand Junction,1
Colorado,Greeley,1
Colorado,Highlands Ranch,2
Colorado,Lakewood,2
Colorado,Littleton,2
Colorado,Lone Tree,1
Colorado,Longmont,1
Colorado,Loveland,1
Colorado,Montrose,1
Colorado,Parker,2
Colorado,Pueblo,1
Colorado,Sheridan,1
Colorado,Silverthorne,1
Colorado,Superior,1
Colorado,Thornton,1
Colorado,Westminster,2
Colorado,Wheat Ridge,1
Connecticut,Ansonia,2
Connecticut,Avon,1
Connecticut,Berlin,1
Connecticut,Bethel,2
Connecticut,Bloomfield,2
Connecticut,Branford,1
Connecticut,Bridgeport,3
Connecticut,Bristol,3
Connecticut,Brookfield,1
Connecticut,Brooklyn,1
Connecticut,Burlington,1
Connecticut,Canton,1
Connecticut,Cheshire,2
Connecticut,Clinton,1
Connecticut,Colchester,1
Connecticut,Cos Cob,1
Connecticut,Coventry,1
Connecticut,Cromwell,1
Connecticut,Danbury,4
Connecticut,Darien,1
Connecticut,Dayville,1
Connecticut,Derby,1
Connecticut,East Hampton,1
Connecticut,East Hartford,3
Connecticut,East Haven,2
Connecticut,East Lyme,2
Connecticut,Enfield,3
Connecticut,Fairfield,4
Connecticut,Farmington,1
Connecticut,Gales Ferry,1
Connecticut,Glastonbury,2
Connecticut,Granby,1
Connecticut,Greenwich,2
Connecticut,Groton,1
Connecticut,Guilford,1
Connecticut,Hamden,2
Connecticut,Hartford,6
Connecticut,Hebron,1
Connecticut,Kensington,1
Connecticut,Lisbon,1
Connecticut,Litchfield,1
Connecticut,Madison,1
Connecticut,Manchester,4
Connecticut,Mansfield,2
Connecticut,Meriden,4
Connecticut,Middletown,2
Connecticut,Milford,3
Connecticut,Monroe,1
Connecticut,Mystic,1
Connecticut,Naugatuck,1
Connecticut,New Britain,3
Connecticut,New Canaan,1
Connecticut,New Haven,3
Connecticut,Newington,2
Connecticut,New London,1
Connecticut,New Milford,1
Connecticut,Newtown,1
Connecticut,North Haven,2
Connecticut,Norwalk,4
Connecticut,Norwich,1
Connecticut,Old Greenwich,1
Connecticut,Old Saybrook,1
Connecticut,Orange,2
Connecticut,Plainfield,1
Connecticut,Plainville,1
Connecticut,Plymouth,1
Connecticut,Prospect,1
Connecticut,Putnam,1
Connecticut,Ridgefield,2
Connecticut,Riverside,1
Connecticut,Rockville,1
Connecticut,Rocky Hill,2
Connecticut,Seymour,1
Connecticut,Simsbury,1
Connecticut,Southbury,1
Connecticut,Southington,3
Connecticut,South Windsor,1
Connecticut,Stafford Springs,1
Connecticut,Stamford,9
Connecticut,Stratford,2
Connecticut,Suffield,1
Connecticut,Torrington,2
Connecticut,Trumbull,3
Connecticut,Uncasville,1
Connecticut,Unionville,1
Connecticut,Vernon,1
Connecticut,Wallingford,1
Connecticut,Waterbury,5
Connecticut,Waterford,2
Connecticut,Watertown,1
Connecticut,West Hartford,7
Connecticut,West Haven,3
Connecticut,Westport,1
Connecticut,Wethersfield,1
Connecticut,Willimantic,1
Connecticut,Wilton,1
Connecticut,Windsor,3
Connecticut,Windsor Locks,1
Connecticut,Winsted,1
Delaware,Bear,1
Delaware,Bethany Beach,1
Delaware,Claymont,1
Delaware,Dover,3
Delaware,Lewes,1
Delaware,Middletown,1
Delaware,Milford,1
Delaware,Newark,2
Delaware,New Castle,1
Delaware,Ocean View,1
Delaware,Pike Creek,1
Delaware,Rehoboth,1
Delaware,Selbyville,1
Delaware,Wilmington,4
Florida,Alachua,1
Florida,Altamonte,1
Florida,Altamonte Springs,4
Florida,Apalachicola,1
Florida,Apollo Beach,1
Florida,Apopka,2
Florida,Arcadia,1
Florida,Auburndale,1
Florida,Aventura,2
Florida,Avon Park,1
Florida,Bartow,1
Florida,Baytree,1
Florida,Belle Glade,1
Florida,Belleview,1
Florida,Beverly Hills,1
Florida,Big Pine Key,1
Florida,Boca Raton,11
Florida,Bonita Springs,3
Florida,Boynton Beach,9
Florida,Bradenton,9
Florida,Brandon,4
Florida,Brooksville,3
Florida,Bushnell,1
Florida,Callahan,1
Florida,Cantonment,1
Florida,Cape Coral,6
Florida,Carol City,1
Florida,Casselberry,1
Florida,Century,1
Florida,Chattahoochee,1
Florida,Chiefland,1
Florida,Chipley,1
Florida,Citrus Hills,1
Florida,Clearwater,9
Florida,Clearwater Beach,1
Florida,Clermont,4
Florida,Clewiston,1
Florida,Cocoa,2
Florida,Cocoa Beach,1
Florida,Coconut Creek,2
Florida,Coconut Grove,1
Florida,Cooper City,1
Florida,Coral Gables,2
Florida,Coral Springs,8
Florida,Crawfordville,1
Florida,Crestview,1
Florida,Crystal River,1
Florida,Dade City,1
Florida,Davenport,4
Florida,Davie,3
Florida,Daytona Beach,3
Florida,Daytona Beach Shores,1
Florida,Deerfield Beach,4
Florida,Deland,2
Florida,Delray Beach,5
Florida,Deltona,2
Florida,Destin,2
Florida,Doral,4
Florida,Dunedin,2
Florida,Dunnellon,1
Florida,East Palatka,1
Florida,Edgewater,1
Florida,Englewood,1
Florida,Estero,2
Florida,Eustis,1
Florida,Fernandina Beach,1
Florida,Flagler Beach,1
Florida,Fleming Island,1
Florida,Fort Lauderdale,11
Florida,Fort Myers,15
Florida,Fort Myers Beach,1
Florida,Fort Pierce,4
Florida,Fort Walton Beach,2
Florida,Ft Myers,1
Florida,Ft Myers,2
Florida,Gainesville,12
Florida,Greenacres,2
Florida,Green Cove Springs,1
Florida,Gulf Breeze,2
Florida,Haines City,1
Florida,Hallandale,1
Florida,Hawthorne,1
Florida,Heathrow,1
Florida,Hialeah,19
Florida,High Springs,1
Florida,Hobe Sound,1
Florida,Holiday,1
Florida,Hollywood,8
Florida,Holmes Beach,1
Florida,Homestead,5
Florida,Homosassa,1
Florida,Hudson,2
Florida,Immokalee,1
Florida,Indialantic,1
Florida,Indian Rocks Beach,1
Florida,Interlachen,1
Florida,Inverness,1
Florida,Islamorada,1
Florida,Jacksonville,32
Florida,Jacksonville Beach,2
Florida,Jasper,1
Florida,Jensen Beach,2
Florida,Jonesville,1
Florida,Juno Beach,1
Florida,Jupiter,3
Florida,Kendall,1
Florida,Key Biscaynne,1
Florida,Key Largo,1
Florida,Keystone Heights,1
Florida,Key West,4
Florida,Kissimmee,12
Florida,Lady Lake,1
Florida,Lake Butler,1
Florida,Lake City,2
Florida,Lakeland,9
Florida,Lake Mary,2
Florida,Lake Park,1
Florida,Lake Placid,1
Florida,Lake Wales,1
Florida,Lake Worth,7
Florida,Lantana,1
Florida,Largo,7
Florida,Lauderhill,3
Florida,Leesburg,1
Florida,Lehigh Acres,1
Florida,Lighthouse Point,1
Florida,Live Oak,1
Florida,Longboat Key,1
Florida,Longwood,2
Florida,Lutz,2
Florida,Lynn Haven,1
Florida,Macclenny,1
Florida,Madeira Beach,1
Florida,Madison,1
Florida,Marco Island,1
Florida,Margate,2
Florida,Marianna,1
Florida,Mary Esther,2
Florida,Melbourne,6
Florida,Melbourne Village,1
Florida,Merritt Island,3
Florida,Miami,82
Florida,Miami Beach,6
Florida,Miami Gardens,2
Florida,Miami Lakes,1
Florida,Middleburg,1
Florida,Milton,1
Florida,Minneola,1
Florida,Miramar,5
Florida,Miramar Beach,2
Florida,Monticello,1
Florida,Mount Dora,4
Florida,Naples,16
Florida,Navarre,1
Florida,Neptune Beach,1
Florida,New Port Richey,6
Florida,New Smyrna Beach,1
Florida,Niceville,2
Florida,Nokomis,1
Florida,North Fort Myers,3
Florida,North Miami,2
Florida,North Miami Beach,4
Florida,North Palm Beach,1
Florida,North Port,1
Florida,Oakland Park,1
Florida,Ocala,9
Florida,Ocoee,1
Florida,Okeechobee,1
Florida,Oldsmar,1
Florida,Orange City,2
Florida,Orange Park,3
Florida,Orlando,43
Florida,Ormond Beach,2
Florida,Osprey,1
Florida,Oviedo,3
Florida,Pace,2
Florida,Palatka,1
Florida,Palm Bay,3
Florida,Palm Beach,4
Florida,Palm Beach Gardens,1
Florida,Palm City,1
Florida,Palm Coast,3
Florida,Palmetto,1
Florida,Palm Harbor,3
Florida,Palm Springs,1
Florida,Panama City,8
Florida,Panama City Beach,2
Florida,Parkland,1
Florida,Parrish,1
Florida,Pembroke Pines,7
Florida,Pensacola,14
Florida,Perry,1
Florida,Pinecrest,1
Florida,Pinellas Park,4
Florida,Plantation,4
Florida,Plant City,2
Florida,Pompano Beach,4
Florida,Ponte Vedra Beach,1
Florida,Port Charlotte,4
Florida,Port Orange,4
Florida,Port Richey,2
Florida,Port Saint Joe,1
Florida,Port Saint Lucie,5
Florida,Port St Lucie,1
Florida,Punta Gorda,1
Florida,Quincy,1
Florida,Riverview,4
Florida,Rockledge,2
Florida,Royal Palm,1
Florida,Saint Augustine,6
Florida,Saint Cloud,2
Florida,Saint James City,1
Florida,Saint Petersburg,15
Florida,Sanford,3
Florida,Sanibel,1
Florida,Sarasota,13
Florida,Satellite Beach,1
Florida,Sebring,1
Florida,Seffner,1
Florida,Seminole,2
Florida,Silver Springs,1
Florida,Sorrento,1
Florida,South Miami,2
Florida,Spring Hill,3
Florida,St pete Beach,1
Florida,St Petersburg,1
Florida,Starke,1
Florida,Stock Island,1
Florida,Stuart,4
Florida,Summerfield,1
Florida,Sun City Center,1
Florida,Sunny Isles,2
Florida,Sunny Isles Beach,1
Florida,Sunrise,2
Florida,Surfside,1
Florida,Talahassee,1
Florida,Tallahassee,13
Florida,Tamarac,3
Florida,Tampa,29
Florida,Tarpon Springs,1
Florida,Tavares,1
Florida,Tavernier,1
Florida,Temple Terrace,2
Florida,Tequesta,1
Florida,The Villages,2
Florida,Titusville,3
Florida,Trinity,1
Florida,University Park,1
Florida,Valrico,2
Florida,Venice,4
Florida,Vero Beach,7
Florida,Wauchula,1
Florida,Weeki Wachee,1
Florida,Wellington,1
Florida,Wesley Chapel,4
Florida,Weston,2
Florida,West Palm Beach,13
Florida,Wildwood,1
Florida,Williston,1
Florida,Wilton Manors,1
Florida,Windermere,1
Florida,Winter Garden,2
Florida,Winter Haven,4
Florida,Winter Park,5
Florida,Winter Springs,1
Florida,Yulee,1
Florida,Zephyrhills,3
Georgia,Acworth,3
Georgia,Albany,2
Georgia,Alpharetta,8
Georgia,Americus,1
Georgia,Athens,7
Georgia,Atlanta,35
Georgia,Auburn,1
Georgia,Augusta,6
Georgia,Austell,2
Georgia,Bainbridge,1
Georgia,Barnesville,1
Georgia,Baxley,1
Georgia,Bethlehem,1
Georgia,Blairsville,1
Georgia,Blakely,1
Georgia,Blue Ridge,1
Georgia,Bowdon,1
Georgia,Bremen,1
Georgia,Brunswick,2
Georgia,Buford,3
Georgia,Calhoun,1
Georgia,Canton,4
Georgia,Carrollton,2
Georgia,Cartersville,3
Georgia,Cedartown,1
Georgia,Chamblee,1
Georgia,Chatsworth,1
Georgia,Claxton,1
Georgia,Clayton,1
Georgia,Cochran,1
Georgia,Columbus,8
Georgia,Commerce,1
Georgia,Conyers,3
Georgia,Cordele,1
Georgia,Cornelia,1
Georgia,Covington,4
Georgia,Cumming,7
Georgia,Cuthbert,1
Georgia,Dacula,1
Georgia,Dallas,2
Georgia,Dalton,2
Georgia,Dawsonville,1
Georgia,Decatur,7
Georgia,Douglas,1
Georgia,Douglasville,3
Georgia,Dublin,1
Georgia,Duluth,2
Georgia,Dunwoody,2
Georgia,East Ellijay,1
Georgia,Eastman,1
Georgia,East Point,2
Georgia,Eatonton,1
Georgia,Elberton,1
Georgia,Ellenwood,1
Georgia,Evans,4
Georgia,Fairburn,1
Georgia,Fayetteville,2
Georgia,Fitzgerald,1
Georgia,Flowery,1
Georgia,Flowery Branch,2
Georgia,Forest Park,1
Georgia,Forsyth,1
Georgia,Fort Oglethorpe,1
Georgia,Fort Valley,1
Georgia,Gainesville,3
Georgia,Garden City,1
Georgia,Greensboro,1
Georgia,Griffin,1
Georgia,Grovetown,1
Georgia,Hartwell,1
Georgia,Hazlehurst,1
Georgia,Hinesville,1
Georgia,Hiram,1
Georgia,Hoschton,1
Georgia,Hull,1
Georgia,Jackson,1
Georgia,Jasper,1
Georgia,Jefferson,1
Georgia,Jesup,1
Georgia,Jonesboro,2
Georgia,Kennesaw,2
Georgia,Kingsland,1
Georgia,Lafayette,1
Georgia,Lagrange,1
Georgia,La Grange,2
Georgia,Lawrenceville,7
Georgia,Leesburg,1
Georgia,Lilburn,4
Georgia,Lithonia,1
Georgia,Loganville,2
Georgia,Mableton,1
Georgia,Macon,9
Georgia,Manchester,1
Georgia,Marietta,13
Georgia,Martinez,2
Georgia,Mcdonough,6
Georgia,Milledgeville,2
Georgia,Milton,2
Georgia,Monroe,1
Georgia,Montezuma,1
Georgia,Monticello,1
Georgia,Morrow,1
Georgia,Moultrie,1
Georgia,Newnan,5
Georgia,Norcross,4
Georgia,Oakwood,1
Georgia,Peachtree City,2
Georgia,Perry,1
Georgia,Pooler,1
Georgia,Port Wentworth,1
Georgia,Powder Springs,1
Georgia,Richmond Hill,1
Georgia,Rincon,1
Georgia,Ringgold,2
Georgia,Riverdale,3
Georgia,Rome,5
Georgia,Roswell,5
Georgia,Saint Mary s,1
Georgia,Saint Simons Island,2
Georgia,Sandersville,1
Georgia,Sandy Springs,3
Georgia,Savannah,13
Georgia,Smyrna,4
Georgia,Snellville,4
Georgia,Statesboro,1
Georgia,Stockbridge,2
Georgia,Stone Mountain,4
Georgia,Summerville,1
Georgia,Suwanee,3
Georgia,Sylvester,1
Georgia,Tallapoosa,1
Georgia,Thomasville,1
Georgia,Thomson,1
Georgia,Tifton,2
Georgia,Toccoa,1
Georgia,Trenton,1
Georgia,Tucker,2
Georgia,Tyrone,1
Georgia,Union City,1
Georgia,Valdosta,1
Georgia,Vidalia,1
Georgia,Villa Rica,1
Georgia,Warner Robins,7
Georgia,Washington,1
Georgia,Watkinsville,1
Georgia,Waycross,1
Georgia,Waynesboro,1
Georgia,Winder,1
Georgia,Woodstock,2
Hawaii,Aiea,1
Hawaii,Eleele,1
Hawaii,Ewa Beach,2
Hawaii,Haleiwa,1
Hawaii,Hauula,1
Hawaii,Hilo,5
Hawaii,Honolulu,22
Hawaii,Kahului,3
Hawaii,Kailua,3
Hawaii,Kailua Kona,2
Hawaii,Kailua kona,1
Hawaii,Kaneohe,2
Hawaii,Kapaa,1
Hawaii,Kapolei,2
Hawaii,Keaau,1
Hawaii,Kihei,2
Hawaii,Koloa,1
Hawaii,Kona,1
Hawaii,Lahaina,1
Hawaii,Lihue,1
Hawaii,Mililani,3
Hawaii,Pahala,1
Hawaii,Pahoa,1
Hawaii,Pearl City,2
Hawaii,Pukalani,1
Hawaii,Wahiawa,2
Hawaii,Waianae,3
Hawaii,Wailuku,2
Hawaii,Waimea,1
Hawaii,Waipahu,1
Iowa,Altoona,1
Iowa,Ames,2
Iowa,Ankeny,2
Iowa,Bettendorf,1
Iowa,Cedar Falls,2
Iowa,Cedar Rapids,6
Iowa,Coralville,1
Iowa,Council Bluffs,2
Iowa,Davenport,3
Iowa,Des Moines,4
Iowa,Dubuque,1
Iowa,Fort Dodge,2
Iowa,Iowa City,2
Iowa,Marion,1
Iowa,Mason City,1
Iowa,Sioux City,1
Iowa,Urbandale,2
Iowa,Waterloo,3
Iowa,West Des Moines,2
Idaho,Boise,1
Idaho,Nampa,1
Idaho,Twin Falls,1
